TC ID,구분,대상,검증 내용,우선,실행 STEP,상태,비고
U-ONB00-01,단위,ONB-00 초대 이메일,발신·수신·제목 : 발신·수신·제목이 기획 문구와 일치. 기관명·가입자 이메일이 발송 입력값과 같다,P1,023,,
U-ONB00-02,단위,ONB-00 초대 이메일,[계정 활성화·비밀번호 설정] 링크 : ONB-01이 열린다,P0,024,,
U-ONB00-03,단위,ONB-00 초대 이메일,활성화 안내 : 유효기간 72시간·1회용·할 일이 문구로 보인다,P2,023,,
U-ONB00-04,단위,ONB-00 초대 이메일,메일 푸터 : 문의 안내가 보인다. 공지사항 링크는 없다,P2,023,,
U-ONB01-01,단위,ONB-01 비밀번호 설정,새 비밀번호 입력 : 입력 시점에 무시되어 필드에 들어가지 않는다,P1,025,,
U-ONB01-02,단위,ONB-01 비밀번호 설정,새 비밀번호 입력 : 20자에서 더 입력되지 않는다,P1,025,,
U-ONB01-03,단위,ONB-01 비밀번호 설정,새 비밀번호 입력 : 입력 중에는 판정하지 않는다. 키 입력마다 경고가 뜨지 않는다,P1,026,,
U-ONB01-04,단위,ONB-01 비밀번호 설정,"[다음] : 인라인 경고 ""값을 입력해 주세요"". 서버 요청을 보내지 않는다",P0,027,,
U-ONB01-05,단위,ONB-01 비밀번호 설정,[다음] : 위반한 규칙이 문구로 보인다. 입력값 유지·화면 머무름,P0,028,,
U-ONB01-06,단위,ONB-01 비밀번호 설정,[다음] : 조합 3종 이상 위반 경고,P0,028,,
U-ONB01-07,단위,ONB-01 비밀번호 설정,[다음] : 동일 금지 위반 경고,P1,028,,
U-ONB01-08,단위,ONB-01 비밀번호 설정,[다음] : 반복 금지 위반 경고,P1,028,,
U-ONB01-09,단위,ONB-01 비밀번호 설정,"새 비밀번호 확인 : ""비밀번호가 일치하지 않습니다"". 확인 필드만 초기화되고 항목1 값은 유지",P0,029,,
U-ONB01-10,단위,ONB-01 비밀번호 설정,[다음] : 문제가 있는 필드마다 경고가 동시에 보인다,P1,030,,
U-ONB01-11,단위,ONB-01 비밀번호 설정,[다음] : ONB-02로 이동. 계정 상태가 활성화 진행 중으로 기록된다,P0,031,,
U-ONB01-12,단위,ONB-01 비밀번호 설정,[다음] : 처리 중에만 비활성이 되어 중복 요청이 가지 않는다. Enter도 같은 동작,P1,031,,
