STEP,런,구간,계정·역할,화면,조작 (그대로 따라 하기),확인 (이게 안 되면 결함),커버 TC,결과,비고
001,S 준비,0. 지원 도구,QA,-,"지원요청 탭의 요청 26건을 개발팀과 함께 훑고, 대응 불가한 항목을 표시한다","못 해주는 항목이 있으면 그 STEP은 나중에 ""불가""로 남긴다",전제,,
002,S 준비,0. 메일함,QA,-,기관 A~E 5개 수신 메일함을 준비하고 QA 시트 맨 위에 적어둔다,5개 주소 모두 수신 확인됨,전제,,
003,S 준비,1. 어드민,관리자,어드민 로그인,어드민 콘솔에 로그인한다,ADM-02 홈이 열린다,U-ADMAUTH-01,,
004,S 준비,2. 정책값,관리자,ADM-03,취급자산 ETH·USDC·USDT 3종 상태를 모두 사용으로 둔다,3종이 개별로 반영된다,U-ADM03-11,,
005,S 준비,2. 정책값,관리자,ADM-03,"스프레드 3개 · 견적 유효시간 120초 · 수수료율 1% · 게시 30일 · 신청 2영업일 · price guard 2.0% · 건별 한도 1,500,000원을 입력하고 [변경 저장]","저장 배너 ""정책값이 저장되었습니다 (vN) — 신규 요청부터 적용""",U-ADM03-08~10 · U-ADM03-13~15,,
006,S 준비,2. 정책값,관리자,ADM-03,일곱 값에 범위 밖 수를 하나씩 넣고 저장해 본다: 스프레드 0.005%·6% / 견적 20초·700초 / 수수료율 6% / 게시 0일·100일 / 신청 0영업일·15영업일 / guard 0.05%·15% / 한도 0원·문자,일곱 항목 모두 허용 범위 밖은 거부된다. 한도 허용 범위는 [확인필요],U-ADM03-16~22,,
007,S 준비,2. 정책값,관리자,ADM-03,취급자산 하나를 중지로 바꾼다,확인 다이얼로그가 뜨고 사유를 10~500자로 필수 입력한다. 중지 후 그 자산이 든 페어 2종의 신규 요청·게시·신청이 막힌다. 확인 뒤 사용으로 되돌린다,U-ADM03-23,,
008,S 준비,2. 정책값,관리자,ADM-03,저장된 값을 화면에서 다시 읽어 위 값과 같은지 대조한다,ADM-03 저장값 = 별표 1 정책값. 이후 모든 기대값의 기준이 된다,전제,,
009,S 준비,1. 테스트 계정,QA → 개발팀,슬랙,"[R-01] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 준비] 테스트 기관 5곳을 만들려면 아래 두 가지를 먼저 주셔야 합니다. ① customerNo 5개 (형식 L-XXXXXX-XXXX. 커스터디가 발급하는 값이라 저희가 임의로 못 만듭니다) ② 각 기관에 붙일 수탁 지갑 주소 5개 (Ethereum). 이 값들을 ADM-03 초대 폼에 입력해 기관을 만들고, 그 지갑에 잔고를 넣게 됩니다. 기관 A(나목 주계정) · B(마목 게시자) · C(마목 신청자) · D(인증 실험용) · E(예비)로 구분해 주시면 그대로 쓰겠습니다.」",customerNo 5개와 수탁 지갑 주소 5개를 받았다. 시트 맨 위에 적어둔다,지원요청 R-01,,
010,S 준비,3. 기관 생성,관리자,ADM-03,기관명·이메일·customerNo·수탁 지갑 주소를 비우고 [초대 발송]을 눌러본다,필드별 경고가 뜨고 발송되지 않는다,U-ADM03-01,,
011,S 준비,3. 기관 생성,관리자,ADM-03,수탁 지갑 주소에 형식이 틀린 값을 넣고 [초대 발송],형식 검증 경고,U-ADM03-02,,
012,S 준비,3. 기관 생성,관리자,ADM-03,기관명 1자·51자·중복을 차례로 넣어 본다,2~50자 밖과 중복이 각각 거부되고 전용 오류 문구가 보인다,U-ADM03-24,,
013,S 준비,3. 기관 생성,관리자,ADM-03,가입자 이메일 255자·이미 초대된 이메일을 차례로 넣어 본다,254자 초과와 중복이 각각 거부된다,U-ADM03-25,,
014,S 준비,3. 기관 생성,관리자,ADM-03,customerNo 형식 위반(L- 없음·자리수 불일치)을 넣어 본다,L-XXXXXX-XXXX 형식 위반이 거부된다,U-ADM03-26,,
015,S 준비,3. 기관 생성,관리자,ADM-03,체크섬이 틀린 대소문자 혼용 지갑 주소와 이미 쓰인 주소를 차례로 넣어 본다,EIP-55 체크섬 불일치와 중복이 각각 거부된다,U-ADM03-27,,
016,S 준비,3. 기관 생성,관리자,ADM-03,기관 A(나목 주계정) 정상값 입력 후 [초대 발송],기관·가입자 생성. 상태 칩이 활성,U-ADM03-03,,
017,S 준비,3. 기관 생성,관리자,ADM-03,기관 A와 같은 customerNo로 기관 A2를 만들어 본다,기관당 가입자 1명 원칙에 따라 차단되거나 안내된다,U-ADM03-04,,
018,S 준비,3. 기관 생성,관리자,ADM-03,기관 B(마목 게시자) · C(마목 신청자) · D(인증 실험용) · E(만료 실험용) 초대를 차례로 발송한다,5개 기관이 목록에 보인다,U-ADM03-03,,
019,S 준비,3. 기관 생성,관리자,ADM-03,목록의 KYC 상태 칩을 본다,커스터디 조회값(코드 + 조회 시각)이 표시 전용으로 보이고 [상태 변경] 버튼이 없다,U-ADM03-06,,
020,S 준비,0. 지원 도구,QA → 개발팀,슬랙,"[R-02] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 준비] 아래 표대로 잔고를 넣어 주세요. 건별 한도가 1,500,000원 상당(약 1,100 USDC)이라 한도 초과 입력을 테스트하려면 한도보다 넉넉히 있어야 합니다. 기관 A: USDC 50,000 · USDT 50,000 · ETH 20 / 기관 B: USDT 50,000 · USDC 50,000 · ETH 20 / 기관 C: USDC 20,000 · USDT 20,000 · ETH 0 (ETH만 0으로 두셔야 잔고 부족 화면을 볼 수 있습니다) / 기관 D: 각 100씩 (거래는 안 하고 대시보드 표시만 봅니다) / 기관 E: USDC 20,000 · USDT 20,000 · ETH 0. 그리고 DSRV 쪽 지갑도 부탁드립니다. 나목 교환 재고 USDC 100,000 · USDT 100,000 · ETH 50, 가스 지갑에 ETH 10. 에스크로와 운영 지갑은 0으로 두시면 됩니다. 테스트하면서 채워집니다.」","완료 회신을 받았고, DASH-01과 ADM-03 자산풀에서 값이 보이는지 1회 확인했다",지원요청 R-02,,
