TC ID,단위,화면,항목,유형,사전조건,절차,기대결과,우선,근거,결과,비고
U-ONB00-01,① 가입 및 로그인,ONB-00 초대 이메일,발신·수신·제목,표기,관리자가 ADM-03에서 초대 발송,수신함에서 초대 메일 확인,발신·수신·제목이 기획 문구와 일치. 기관명·가입자 이메일이 발송 입력값과 같다,P1,ONB-00 항목1,,
U-ONB00-02,① 가입 및 로그인,ONB-00 초대 이메일,[계정 활성화·비밀번호 설정] 링크,정상,유효한 초대 메일 보유,링크 클릭,ONB-01이 열린다,P0,AC-01,,
U-ONB00-03,① 가입 및 로그인,ONB-00 초대 이메일,활성화 안내,표기,상동,본문 안내 확인,유효기간 72시간·1회용·할 일이 문구로 보인다,P2,AC-01 정책값 72시간,,
U-ONB00-04,① 가입 및 로그인,ONB-00 초대 이메일,메일 푸터,표기,상동,푸터 확인,문의 안내가 보인다. 공지사항 링크는 없다,P2,2026-09-07(20),,
U-ONB01-01,① 가입 및 로그인,ONB-01 비밀번호 설정,새 비밀번호 입력,오류,ONB-01 진입,한글·공백·허용 외 특수문자를 입력,입력 시점에 무시되어 필드에 들어가지 않는다,P1,허용문자 영대소문자·숫자·!@#$%^&*(),,
U-ONB01-02,① 가입 및 로그인,ONB-01 비밀번호 설정,새 비밀번호 입력,경계,상동,21자 입력 시도,20자에서 더 입력되지 않는다,P1,길이 8~20자,,
U-ONB01-03,① 가입 및 로그인,ONB-01 비밀번호 설정,새 비밀번호 입력,정상,상동,규칙 위반 값을 타이핑하며 관찰,입력 중에는 판정하지 않는다. 키 입력마다 경고가 뜨지 않는다,P1,2026-09-02 재결정,,
U-ONB01-04,① 가입 및 로그인,ONB-01 비밀번호 설정,[다음],오류,두 필드 비움,[다음] 클릭,"인라인 경고 ""값을 입력해 주세요"". 서버 요청을 보내지 않는다",P0,ONB-01 항목3,,
U-ONB01-05,① 가입 및 로그인,ONB-01 비밀번호 설정,[다음],경계,7자 입력,[다음] 클릭,위반한 규칙이 문구로 보인다. 입력값 유지·화면 머무름,P0,규칙 ②,,
U-ONB01-06,① 가입 및 로그인,ONB-01 비밀번호 설정,[다음],오류,영문+숫자 2종 조합만 입력,[다음] 클릭,조합 3종 이상 위반 경고,P0,규칙 ①,,
U-ONB01-07,① 가입 및 로그인,ONB-01 비밀번호 설정,[다음],오류,이메일 @ 앞부분과 같은 값 입력,[다음] 클릭,동일 금지 위반 경고,P1,규칙 ③,,
U-ONB01-08,① 가입 및 로그인,ONB-01 비밀번호 설정,[다음],오류,동일 문자 반복 값 입력,[다음] 클릭,반복 금지 위반 경고,P1,규칙 ④,,
U-ONB01-09,① 가입 및 로그인,ONB-01 비밀번호 설정,새 비밀번호 확인,오류,두 필드에 다른 값 입력,[다음] 클릭,"""비밀번호가 일치하지 않습니다"". 확인 필드만 초기화되고 항목1 값은 유지",P0,ONB-01 항목2,,
U-ONB01-10,① 가입 및 로그인,ONB-01 비밀번호 설정,[다음],오류,빈칸·규칙 위반·불일치를 동시에 만듦,[다음] 클릭,문제가 있는 필드마다 경고가 동시에 보인다,P1,ONB-01 항목3,,
U-ONB01-11,① 가입 및 로그인,ONB-01 비밀번호 설정,[다음],정상,규칙 통과 값 입력,[다음] 클릭,ONB-02로 이동. 계정 상태가 활성화 진행 중으로 기록된다,P0,ONB-01 항목3,,
U-ONB01-12,① 가입 및 로그인,ONB-01 비밀번호 설정,[다음],오류,정상 입력,[다음] 연타 / Enter 키,처리 중에만 비활성이 되어 중복 요청이 가지 않는다. Enter도 같은 동작,P1,버튼 4단계,,
U-ONB01-13,① 가입 및 로그인,ONB-01 비밀번호 설정,서버 재검증,정상,규칙 위반 값을 API로 직접 전송,규칙 위반 값을 비밀번호 설정 API로 직접 전송,서버는 규칙을 다시 검증하지 않고 저장한다(설계대로). 저장은 단방향 해시+salt,P1,2026-09-10 결정 B-1 · 기획 원안 유지,,
U-ONB02-01,① 가입 및 로그인,ONB-02 2FA 앱 연결,2FA QR / 설정 키,정상,ONB-02 진입,QR 스캔 및 설정 키 수동 입력,두 방법 모두 같은 계정으로 등록된다,P0,ONB-02 항목1·2,,
U-ONB02-02,① 가입 및 로그인,ONB-02 2FA 앱 연결,6자리 코드 입력,정상,앱 등록 완료,6자리 입력 완료,별도 버튼 없이 자동 검증된다,P0,2026-09-04(16)②,,
U-ONB02-03,① 가입 및 로그인,ONB-02 2FA 앱 연결,6자리 코드 입력,오류,상동,틀린 코드 입력,경고 표시 후 재입력 가능,P0,ONB-02 항목3,,
U-ONB02-04,① 가입 및 로그인,ONB-02 2FA 앱 연결,6자리 코드 입력,표기,상동,6자리를 한 번에 붙여넣기,붙여넣기 분배 기능은 없다,P2,2026-09-02(11),,
U-ONB02-05,① 가입 및 로그인,ONB-02 2FA 앱 연결,6자리 코드 입력,정상,상동,정확한 코드 입력,ONB-03으로 이동,P0,AC-03,,
U-ONB03-01,① 가입 및 로그인,ONB-03 복구 코드,복구 코드·보관 경고,표기,ONB-03 진입,화면 확인,단일 복구 코드와 보관 경고가 보인다,P1,2026-09-02(5),,
U-ONB03-02,① 가입 및 로그인,ONB-03 복구 코드,[복사하기],정상,상동,[복사하기] 클릭,클립보드에 복구 코드가 담긴다. [다운로드] 버튼은 없다,P1,2026-09-02(11),,
U-ONB03-03,① 가입 및 로그인,ONB-03 복구 코드,[확인],정상,상동,[확인] 클릭,활성화 완료. AUTH-01로 이동하고 로그인 가능 상태가 된다,P0,AC-03,,
U-ONB04-01,① 가입 및 로그인,ONB-04 초대 링크 오류,오류 안내,오류,초대 발송 후 72시간 경과,링크 클릭,"만료 배너 ""관리자에게 재발송을 요청하세요""",P0,AC-02,,
U-ONB04-02,① 가입 및 로그인,ONB-04 초대 링크 오류,오류 안내,오류,활성화 완료된 계정의 초대 링크,같은 링크 재클릭,1회용이므로 ONB-04가 열린다,P0,AC-02,,
U-AUTH01-01,① 가입 및 로그인,AUTH-01 로그인,이메일·비밀번호,오류,로그인 화면,빈칸으로 [로그인],인라인 경고. 서버 요청 없음,P1,버튼 4단계,,
U-AUTH01-02,① 가입 및 로그인,AUTH-01 로그인,[로그인]·실패 칩,오류,활성 계정,틀린 비밀번호 입력,실패 칩과 남은 횟수가 보인다,P0,2026-09-02(5),,
U-AUTH01-03,① 가입 및 로그인,AUTH-01 로그인,[로그인],정상,활성 계정,정확한 값 입력,AUTH-02로 이동(로그인 2단계),P0,2026-09-02(5),,
U-AUTH01-04,① 가입 및 로그인,AUTH-01 로그인,계정 잠금 배너,경계,실패 4회 누적,5회째 실패,잠금 배너가 보이고 로그인이 막힌다. 거래 칩과 무관,P0,AC-04 정책값 5회,,
U-AUTH01-05,① 가입 및 로그인,AUTH-01 로그인,문의 이메일 링크,표기,잠금 상태,배너 내 링크 확인,문의 이메일 링크가 동작한다,P2,AUTH-01 항목5,,
U-AUTH01-06,① 가입 및 로그인,AUTH-01 로그인,실패 카운터,경계,비밀번호 2회·2FA 2회 실패,복구 코드 1회 실패,세 종류가 합산되어 5회째에 잠금된다,P0,AC-04 합산,,
U-AUTH01-07,① 가입 및 로그인,AUTH-01 로그인,푸터,표기,로그인 화면,푸터 확인,저작권·개인정보처리방침·이용약관 2링크만. 공지사항 없음,P2,2026-09-07(20),,
U-AUTH02-01,① 가입 및 로그인,AUTH-02 2차 인증,6자리 코드,정상,1단계 통과,6자리 입력 완료,자동 검증되어 세션이 생성되고 DASH-01로 이동,P0,2026-09-04(16)②,,
U-AUTH02-02,① 가입 및 로그인,AUTH-02 2차 인증,6자리 코드,오류,상동,틀린 코드,실패 처리되고 카운터에 합산된다,P0,AC-04,,
U-AUTH02-03,① 가입 및 로그인,AUTH-02 2차 인증,[복구 코드로 인증],정상,상동,버튼 클릭,AUTH-03으로 이동. 외곽선 버튼 스타일,P1,2026-09-04(16)①,,
U-AUTH03-01,① 가입 및 로그인,AUTH-03 복구 코드 인증,복구 코드 입력,정상,AUTH-03 진입,복구 코드 입력 후 [인증],클릭 시 검증한다(자동 검증 아님),P0,2026-09-04(16)②,,
U-AUTH03-02,① 가입 및 로그인,AUTH-03 복구 코드 인증,[인증],정상,상동,정확한 복구 코드,세션이 생성되고 DASH-01로 이동. 2FA는 초기화되지 않는다,P0,2026-09-04(16)①,,
U-AUTH03-03,① 가입 및 로그인,AUTH-03 복구 코드 인증,[인증],오류,상동,틀린 복구 코드,실패 처리되고 카운터에 합산된다,P0,AC-04,,
U-AUTH03-04,① 가입 및 로그인,AUTH-03 복구 코드 인증,'‹ 이전으로',정상,상동,링크 클릭,AUTH-02로 돌아간다,P2,AUTH-03 항목3,,
U-DASH01-01,① 가입 및 로그인,DASH-01 대시보드,거래 목록 행,정상,거래 1건 이상 보유,행 클릭,해당 거래의 상세 화면으로 이동,P0,DASH-01 항목3,,
U-DASH01-02,① 가입 및 로그인,DASH-01 대시보드,상태 칩,표기,각 상태의 거래 보유,칩 확인,대기(파랑)·진행(노랑)·완료(초록)·종결(회색) 4종만. 빨간 칩 없음,P1,states 칩 규격,,
U-DASH01-03,① 가입 및 로그인,DASH-01 대시보드,지갑 잔고 표,표기,잔고 보유,자릿수 확인,"ETH 4자리·USDC/USDT 2자리, 절사",P1,표기 자릿수 규칙,,
U-DASH01-04,① 가입 및 로그인,DASH-01 대시보드,지갑 주소,표기,상동,주소 확인,수탁 지갑 주소가 보인다. 회계 계정명은 보이지 않는다,P1,2026-09-02 전제,,
U-DASH01-05,① 가입 및 로그인,DASH-01 대시보드,KYC 예외 배너,정상,기관 상태 02 활성 외,DASH-01 진입,KYC 예외 요약 배너가 보인다,P0,AC-07,,
U-DASH01-06,① 가입 및 로그인,DASH-01 대시보드,2FA 재설정 권고 배너,정상,복구 코드로 로그인한 세션,DASH-01 진입,2차 인증 재설정 권고 배너가 보인다,P1,2026-09-03 대조표,,
U-DASH01-07,① 가입 및 로그인,DASH-01 대시보드,'비밀번호 수정' 카드,정상,로그인 상태,카드 클릭,DASH-02로 이동(독립 페이지),P1,2026-09-02(5),,
U-DASH01-08,① 가입 및 로그인,DASH-01 대시보드,'2차 인증 재설정' 카드,정상,상동,카드 클릭,DASH-03으로 이동,P1,2026-09-02(5),,
U-DASH01-09,① 가입 및 로그인,DASH-01 대시보드,[활동 로그 다운로드(CSV)],정상,활동 기록 보유,버튼 클릭,전체 기간이 1파일로 동기 생성되어 내려온다. 다운로드 이력 화면은 없다,P1,2026-09-02(11),,
