TC ID,단위,시나리오,케이스 ID,관련 화면,참여 역할,사전조건,절차,기대결과 (고객),기대결과 (어드민·시스템),통지,우선,결과,비고
I-A-01,① 가입 및 로그인,초대부터 로그인까지 정상 완주,AC-01→AC-03,ADM-03 · ONB-00~03 · AUTH-01~02 · DASH-01,관리자 · 가입자,커스터디 온보딩 완료된 기관 1곳,ADM-03에서 기관명·이메일·customerNo·수탁 지갑 주소 입력 후 [초대 발송] → 메일 링크 클릭 → 비밀번호 설정 → 2FA 앱 연결 → 복구 코드 저장 → 로그인 → 2차 인증,계정이 활성 상태가 되고 DASH-01에 진입한다,기관·가입자가 생성되고 기관 상태 초기값이 활성. 식별자는 customerNo 하나,초대 메일,P0,,
I-A-02,① 가입 및 로그인,초대 링크 만료 후 재발송,AC-02,ONB-04 · ADM-03,관리자 · 가입자,초대 발송 후 72시간 경과,만료된 링크 클릭 → 관리자가 ADM-03에서 [초대 재발송] → 새 링크로 활성화,ONB-04 만료 배너를 본 뒤 새 링크로 정상 활성화된다,기록이 남고 목록 상태 칩이 갱신된다,초대 메일 재발송,P0,,
I-A-03,① 가입 및 로그인,초대 링크 1회용 확인,AC-02,ONB-04,가입자,활성화 완료,같은 초대 링크를 다시 클릭,ONB-04가 열리고 재활성화되지 않는다,기존 계정에 영향 없음,없음,P0,,
I-A-04,① 가입 및 로그인,활성화 중도 이탈 후 재개,AC-03,ONB-01~03,가입자,ONB-01 완료 후 브라우저 종료,초대 링크 재클릭,진행 중이던 지점(ONB-02)으로 재개된다. 비밀번호를 다시 설정하는 동선은 없다,재개 지점이 서버에 기록되어 있다,없음,P0,,
I-A-05,① 가입 및 로그인,로그인 실패 누적 잠금과 해제,AC-04→AC-05,AUTH-01~03 · ADM-02 ④,가입자 · 관리자,활성 계정,비밀번호·2FA·복구 코드 실패를 합산 5회 발생 → 관리자가 ④ [확인] → 콘솔 밖 본인확인 → [조치 완료 · 해제] → 재로그인,잠금 배너를 보다가 해제 후 기존 비밀번호·OTP로 로그인이 재개된다,④ 알림에 T8 행 생성 → 종결(해제). 실패 카운트 0. 관리자 ID·시각이 확인 기록으로 남는다,계정 잠금 알림 메일 [확인필요],P0,,
I-A-06,① 가입 및 로그인,탈취 의심 잠금 유지와 이관,AC-06→AM-05→AC-08,AUTH-01 · ADM-02 ③④ · EXC-04 · BRK-05,관리자,잠금 상태 + 해당 기관의 ①② 대기 건 존재,④ [조치 완료 · 잠금 유지·이관] + 사유 입력,로그인 불가가 유지된다. 이관 사실은 통지하지 않는다,③ AML 행 생성 · 커스터디 통보 · ①② 대기 건 일괄 거절. 이 시스템은 기관 상태를 바꾸지 않는다,일괄 거절 건에 대해서만 이메일 ⑤,P0,,
I-A-07,① 가입 및 로그인,복구 코드 인증 경로,AC-03,AUTH-01~03 · DASH-01,가입자,2FA 앱 분실 가정,로그인 → AUTH-02에서 [복구 코드로 인증] → AUTH-03에서 복구 코드 입력 → [인증],세션이 생성되어 DASH-01에 진입하고 2FA 재설정 권고 배너가 보인다. 2FA는 초기화되지 않는다,세션 생성 기록,없음,P0,,
I-A-08,① 가입 및 로그인,기관 비활성 상태의 게이팅,AC-07,전 화면 · ADM-03,시스템 · 가입자,커스터디 customerStatusCd를 02 외 값으로 설정,로그인(T1 관문) → 각 거래 화면 진입,KYC 예외 배너가 전 화면에 보이고 EXC-01·BRK-02·BRK-03 버튼이 비활성. 조회는 가능하고 상태별 문구 차등은 없다,ORG.status가 조회값으로 갱신되고 감사로그에 조회 결과가 남는다. 처리함 행은 생기지 않는다,[확인필요],P0,,
I-A-09,① 가입 및 로그인,거래해지 수신,AC-09,ADM-03,시스템 · 관리자,customerStatusCd = 05,관문 조회 발생,AC-07과 동일하게 거래가 막힌다,"ADM-03에 회색 칩 ""05 거래해지"". 해지 절차·잔고 반환은 이 시스템 밖",없음,P1,,
I-A-10,① 가입 및 로그인,상태 변경 웹훅 부재 확인,AC-07,ADM-03,시스템,기관 상태 02 활성,커스터디에서 상태를 04로 변경한 뒤 아무 관문도 통과하지 않고 대기,즉시 반영되지 않는다,다음 관문 조회(로그인·요청·수락·ADM-03 진입) 시점에 반영된다. 기관 상태 변경 웹훅은 없다,없음,P0,,
I-A-11,① 가입 및 로그인,비밀번호 변경 후 재로그인,없음,DASH-02 · AUTH-01,가입자,로그인 상태,DASH-02에서 비밀번호 변경 → 로그아웃 → 새 비밀번호로 로그인,새 비밀번호로 로그인되고 이전 비밀번호는 거부된다,감사로그에 변경 기록,없음,P0,,
I-A-12,① 가입 및 로그인,2차 인증 재설정 완주,없음,DASH-03 · AUTH-02,가입자,로그인 상태,DASH-03 [재설정 메일 발송] → 메일 링크로 재설정 → 새 2FA로 로그인,새 2FA 코드로 로그인된다,재설정 기록,재설정 메일,P0,,
I-A-13,① 가입 및 로그인,감사로그 적재,없음,전 화면,시스템,①~⑫ 수행 후,감사로그 조회,해당 없음,로그인·로그아웃·비밀번호 변경·2FA 재설정·관리자 처리 액션에 관리자 ID와 시각이 남는다,없음,P1,,
I-B-01,② 교환하기(나목),나목 교환 정상 완주,EX-01·03·06·09·11·12,EXC-01~04 · ADM-02 ①② · DASH-01,고객 · 관리자 · 커스터디,기관 활성 · 재고 충분 · 시세 정상,EXC-01 요청 → 견적 산정 → EXC-02 [수락] → ADM-02 ① [승인] → ② 입고 txhash 입력 [완료] → 출고 txhash 입력 [완료],요청됨 → 비율 제시 → 진행 중 → 완료로 칩이 바뀌고 EXC-04에 완료 일시·발생 가스비·실수령 수량이 보인다. DASH-01 잔고 반영,① 행 생성 후 승인으로 제거. ② 입고·출고 2행 생성 후 대사 일치로 완료. 스프레드 수익이 구분회계에 기록되고 재고 차감 확정,이메일 ③,P0,,
I-B-02,② 교환하기(나목),고객 거절,EX-04,EXC-02 · EXC-04,고객,비율 제시 상태,EXC-02 [거절],확인 다이얼로그 없이 EXC-04 「거절 (고객 요청)」,종결 처리. 어드민 행 없음,이메일 ⑤,P0,,
I-B-03,② 교환하기(나목),수락 기한 만료,EX-05,EXC-02 · EXC-04,시스템 · 고객,비율 제시 상태,카운트다운 120초 경과까지 화면에 머무름 → 이탈 후 재진입 → EXC-01에서 재요청,"""만료됨 — 비율 무효""를 보고 재진입 시 EXC-04 「만료」. 재요청은 새 요청번호로 시작",서버 판정으로 종결,이메일 ⑥,P0,,
I-B-04,② 교환하기(나목),수락 시점 재검증 실패,EX-07·OP-02,EXC-02 · EXC-04 · ADM-02 ④,시스템 · 고객,요청 후 다른 거래로 재고 소진,EXC-02 [수락] 클릭,"""가용 재고 부족 · 비율 변동"" 안내와 [수락] 비활성. EXC-04 「만료」",요청 시점 게이트를 통과했어도 수락 시점에 다시 판정한다. 재고 부족이면 ④ 알림 N2 생성 이어서 ④ [확인] → [조치 완료 · 재고 보충 확인]으로 N2가 종결된다,없음,P0,,
I-B-05,② 교환하기(나목),관리자 보류 후 승인,EX-08→EX-09,EXC-03 · ADM-02 ①②,관리자 · 고객,① 승인 대기 행 존재,① [보류] + 사유 → 일정 시간 경과 → [승인],EXC-03의 진행 중 표시가 그대로 유지되고 보류 사실·사유·담당자가 보이지 않는다,HOLD로 유지되며 만료 시한이 없다. 승인 시 ② 2행 생성,없음,P0,,
I-B-06,② 교환하기(나목),관리자 보류 후 거절,EX-08→EX-10,EXC-04 · ADM-02 ①,관리자 · 고객,상동,① [보류] → [거절] + 사유,EXC-04 「거절 (DSRV 심사)」와 일반화 사유 배너만 보인다. 구체 사유는 없다,종결(거절). 되돌릴 수 없다,이메일 ⑤,P0,,
I-B-07,② 교환하기(나목),AML 사유 거절과 ③ 연계,EX-10→AM-05,ADM-02 ①③ · EXC-04,관리자,① 승인 대기 행 존재,AML 사유로 ① [거절],일반화 사유만 보인다,③ AML에 STR 검토 건이 자동 생성된다,이메일 ⑤,P0,,
I-B-08,② 교환하기(나목),시세 소스 중단과 복구,EX-02·OP-01,EXC-01 · BRK-02 · BRK-03 · ADM-02 ④,시스템 · 관리자,진행 중 거래 1건 보유,시세 무수신 임계 경과 → 신규 요청 시도 → ④ [확인] → [조치 완료 · 정상 수신 확인],배너와 함께 신규 요청·게시·신청 버튼이 비활성. 진행 중 건은 영향 없음. 종결 후 차단 해제,④ 알림 N1이 에스컬레이션으로 생성된다. 대체 소스로 넘기지 않고 차단을 유지한다,없음,P0,,
I-B-09,② 교환하기(나목),가용 재고 부족 차단,EX-02,EXC-01,시스템 · 고객,가용 재고 0,EXC-01 진입,[거래 요청]이 비활성이고 요청 레코드가 만들어지지 않는다,어드민 행 없음. 가용 재고 = 잔고 − 집행 대기 예약,없음,P0,,
I-B-10,② 교환하기(나목),집행 대사 불일치와 정정,EX-13·OP-03,ADM-02 ②④ · EXC-03,관리자 · 시스템,② 집행 행 존재,명세와 다른 txhash 입력 후 [완료] → ④ [확인] → 정정·재집행 → [조치 완료 · 정정 완료 재대사],거래 상태가 유지되고 정지 사실을 알리지 않는다,완료 차단·행 정지·txhash 필드 경고. ④ 알림 N3 생성. 조치 완료 시 ② 행 재활성. 실패로 끝나지 않고 정정·재집행으로 완결,없음,P0,,
I-B-11,② 교환하기(나목),커스터디 거래 위험 중지 수신,2026-09-07(22),ADM-02 ②· EXC-04,시스템 · 관리자,미집행 ② 행 존재,커스터디가 해당 건 번호로 중지 상태 웹훅 발신,"거래가 거절되고 ""진행 불가"" 안내를 본다",미집행 ② 행 거절·거래 거절. 페이로드는 건 번호와 상태값만이며 사유·단계가 없다,이메일 ⑤,P0,,
I-B-12,② 교환하기(나목),커스터디 해제 수신,2026-09-07(23),ADM-02,시스템,중지로 거절된 건 존재,커스터디가 해제 상태 웹훅 발신 이어서 이미 거절된 그 건에 중지 알림을 한 번 더 보낸다,복구되지 않으므로 재요청이 필요하다,기록만 남고 거절을 복구하지 않는다 거절된 건에 중지가 재통지돼도 기록만 남는다,없음,P0,,
I-B-13,② 교환하기(나목),웹훅 수신 실패 대비,2026-09-07(23),ADM-02 ②,시스템 · 관리자,웹훅 엔드포인트 장애 상태,커스터디 재시도 실패까지 유도,해당 없음,슬랙 통보 후 관리자가 [이전 중지]를 수동 수행한다. 되묻는 조회 API는 없다,슬랙,P1,,"[확인필요] adm-02 항목 11은 [이전 중지]가 ""마목 예치·인도 행에만 보인다. 나목 입고·출고 행에는 없다""이나 09 §0 (22)④는 웹훅 실패 시 관리자 수동 처리를 요구한다. 나목에 차단 수단이 없어 기획 결정 전까지 실행 불가"
